,instance_indexinmglist,study_instance_indexinmglist
442530,1898907_0,87646_1898907_0
442534,1898907_1,87646_1898907_1
442538,1898907_2,87646_1898907_2
442540,1898845_4,87646_1898845_4
442593,1898883_0,87647_1898883_0
442597,1898883_1,87647_1898883_1
442601,1898881_0,87647_1898881_0
442602,1898915_0,87647_1898915_0
442612,1899058_1,87652_1899058_1
442633,1899073_0,87652_1899073_0
442635,1899058_2,87652_1899058_2
442639,1899058_3,87652_1899058_3
442643,-1_-1,87657_-1_-1
442697,1899278_0,87658_1899278_0
442701,1899278_1,87658_1899278_1
442705,1899279_0,87658_1899279_0
442709,1899279_1,87658_1899279_1
442713,1899231_0,87658_1899231_0
442720,1899255_0,87659_1899255_0
442722,1899255_2,87659_1899255_2
442726,1899255_3,87659_1899255_3
442747,1899270_0,87659_1899270_0
442785,1899345_0,87661_1899345_0
442789,1899345_1,87661_1899345_1
442792,1899345_2,87661_1899345_2
442796,1899352_0,87661_1899352_0
442800,1899352_1,87661_1899352_1
442804,1899352_2,87661_1899352_2
442810,1899397_0,87663_1899397_0
442814,1899397_1,87663_1899397_1
442818,1899394_0,87663_1899394_0
442847,1899426_0,87663_1899426_0
442851,1899426_1,87663_1899426_1
442855,1899426_2,87663_1899426_2
442865,1899482_0,87667_1899482_0
442869,1899482_1,87667_1899482_1
442890,1899505_0,87667_1899505_0
442894,1899505_1,87667_1899505_1
442905,1899522_0,87668_1899522_0
442909,1899522_1,87668_1899522_1
442913,1899522_2,87668_1899522_2
442930,1899551_0,87668_1899551_0
442934,1899551_1,87668_1899551_1
442938,1899551_2,87668_1899551_2
442944,1899554_0,87669_1899554_0
442945,1899558_0,87669_1899558_0
442949,1899558_1,87669_1899558_1
442971,1899574_0,87669_1899574_0
442975,1899574_1,87669_1899574_1
442979,1899574_2,87669_1899574_2
442987,1899645_0,87671_1899645_0
442989,1899645_2,87671_1899645_2
442993,1899645_3,87671_1899645_3
443012,1899666_0,87671_1899666_0
443042,1899832_0,87673_1899832_0
443046,1899832_1,87673_1899832_1
443050,1899832_2,87673_1899832_2
443053,1899782_0,87673_1899782_0
443057,1899810_0,87673_1899810_0
443060,1899782_1,87673_1899782_1
443076,1899726_1,87674_1899726_1
443082,1899760_0,87674_1899760_0
443083,1899726_0,87674_1899726_0
443084,1899760_1,87674_1899760_1
443091,1899725_0,87674_1899725_0
443108,1899760_2,87674_1899760_2
443124,1899779_0,87675_1899779_0
443126,1899783_0,87675_1899783_0
443130,1899783_1,87675_1899783_1
443147,1899806_0,87675_1899806_0
443151,1899806_1,87675_1899806_1
443162,1899873_0,87679_1899873_0
443164,1899876_0,87679_1899876_0
443168,1899876_1,87679_1899876_1
443220,1899974_0,87682_1899974_0
443224,1899974_1,87682_1899974_1
443232,1900196_0,87682_1900196_0
443236,1900196_1,87682_1900196_1
443258,1900012_0,87684_1900012_0
443262,1900012_1,87684_1900012_1
443292,1900034_0,87684_1900034_0
443296,1900034_1,87684_1900034_1
443302,1900008_0,87684_1900008_0
443316,1900249_0,87692_1900249_0
443320,1900249_1,87692_1900249_1
443324,1900249_2,87692_1900249_2
443358,1900311_0,87694_1900311_0
443362,1900311_1,87694_1900311_1
443366,1900311_2,87694_1900311_2
443381,1900327_0,87694_1900327_0
443405,1900431_0,87699_1900431_0
443406,1900431_1,87699_1900431_1
443410,1900431_2,87699_1900431_2
443425,1900441_0,87699_1900441_0
443429,1900441_1,87699_1900441_1
443433,1900443_0,87699_1900443_0
443449,1900479_0,87700_1900479_0
443453,1900479_1,87700_1900479_1
443483,1900479_2,87700_1900479_2
443504,1900691_1,87701_1900691_1
443505,1900686_0,87701_1900686_0
443506,1900691_2,87701_1900691_2
443507,1900686_1,87701_1900686_1
443522,1900691_0,87701_1900691_0
443548,1900573_0,87703_1900573_0
443552,1900573_1,87703_1900573_1
443556,1900571_0,87703_1900571_0
443590,1900666_0,87706_1900666_0
443591,1900666_1,87706_1900666_1
443595,1900666_2,87706_1900666_2
443611,1900683_0,87706_1900683_0
443615,1900683_1,87706_1900683_1
443619,1900683_2,87706_1900683_2
443635,1900730_0,87708_1900730_0
443639,1900730_1,87708_1900730_1
443643,1900728_0,87708_1900728_0
443659,1900774_0,87708_1900774_0
443663,1900774_1,87708_1900774_1
443676,1900732_0,87709_1900732_0
443677,1900732_1,87709_1900732_1
443681,1900732_2,87709_1900732_2
443702,1900753_0,87709_1900753_0
443706,1900753_1,87709_1900753_1
443711,1900763_0,87709_1900763_0
443724,1900807_0,87710_1900807_0
443725,1900807_1,87710_1900807_1
443726,1900820_0,87710_1900820_0
443733,1900807_2,87710_1900807_2
443734,1900820_1,87710_1900820_1
443755,1900872_0,87710_1900872_0
443756,1900872_1,87710_1900872_1
443760,1900872_2,87710_1900872_2
443795,1901021_0,87712_1901021_0
443807,1901021_1,87712_1901021_1
443811,1901021_3,87712_1901021_3
443833,1900860_0,87713_1900860_0
443837,1900860_1,87713_1900860_1
443841,1900860_2,87713_1900860_2
443859,1900891_0,87713_1900891_0
443863,1900891_1,87713_1900891_1
443877,1901039_0,87717_1901039_0
443881,1901039_1,87717_1901039_1
443885,1901039_2,87717_1901039_2
443939,1901093_0,87718_1901093_0
443943,1901093_1,87718_1901093_1
443947,1901093_2,87718_1901093_2
443948,1901102_0,87718_1901102_0
443952,1901102_1,87718_1901102_1
443956,1901103_0,87718_1901103_0
443974,1901154_0,87721_1901154_0
443984,1901154_3,87721_1901154_3
444003,1901256_0,87722_1901256_0
444014,1901279_0,87722_1901279_0
444015,1901256_1,87722_1901256_1
444028,1901256_3,87722_1901256_3
444038,1901202_0,87724_1901202_0
444039,1901202_1,87724_1901202_1
444043,1901202_2,87724_1901202_2
444060,1901241_0,87724_1901241_0
444064,1901241_1,87724_1901241_1
444099,1901303_1,87725_1901303_1
444108,1901369_0,87727_1901369_0
444127,1901384_0,87727_1901384_0
444131,1901384_1,87727_1901384_1
444135,1901369_1,87727_1901369_1
444155,1901471_2,87728_1901471_2
444164,1901452_0,87728_1901452_0
444165,1901471_0,87728_1901471_0
444166,1901452_1,87728_1901452_1
444178,1901452_2,87728_1901452_2
444179,1901471_3,87728_1901471_3
444236,1901497_1,87731_1901497_1
444237,1901497_3,87731_1901497_3
444241,1901497_4,87731_1901497_4
444279,1901649_0,87734_1901649_0
444283,1901649_1,87734_1901649_1
444316,1901980_1,87735_1901980_1
444317,1901778_1,87735_1901778_1
444318,1901967_1,87735_1901967_1
444326,1901778_0,87735_1901778_0
444327,1901967_0,87735_1901967_0
444339,1901778_2,87735_1901778_2
444364,1901980_0,87735_1901980_0
444373,1901980_2,87735_1901980_2
444385,1901842_0,87738_1901842_0
444389,1901842_1,87738_1901842_1
444393,1901842_2,87738_1901842_2
444442,1902103_0,87745_1902103_0
444443,1902060_0,87745_1902060_0
444444,1902103_1,87745_1902103_1
444445,1902060_1,87745_1902060_1
444453,1902103_2,87745_1902103_2
444454,1902099_0,87745_1902099_0
444504,1902194_1,87746_1902194_1
444505,1902172_1,87746_1902172_1
444511,1902194_0,87746_1902194_0
444512,1902172_0,87746_1902172_0
444522,1902171_0,87746_1902171_0
444532,1902193_0,87746_1902193_0
444571,1902255_0,87747_1902255_0
444575,1902255_1,87747_1902255_1
444579,1902255_2,87747_1902255_2
444586,1902471_0,87756_1902471_0
444590,1902471_1,87756_1902471_1
444594,1902461_0,87756_1902461_0
444613,1902486_0,87756_1902486_0
444617,1902486_1,87756_1902486_1
444621,1902485_0,87756_1902485_0
444645,1902505_0,87759_1902505_0
444646,1902521_1,87759_1902521_1
444647,1902505_1,87759_1902505_1
444653,1902521_0,87759_1902521_0
444661,1902521_2,87759_1902521_2
444662,1902504_0,87759_1902504_0
444692,1902551_0,87760_1902551_0
444696,1902551_1,87760_1902551_1
444719,1902570_0,87762_1902570_0
444721,1902571_0,87762_1902571_0
444725,1902571_1,87762_1902571_1
444754,1902588_0,87762_1902588_0
444758,1902588_1,87762_1902588_1
444762,1902588_2,87762_1902588_2
444782,1902635_0,87764_1902635_0
444783,1902630_0,87764_1902630_0
444784,1902635_1,87764_1902635_1
444785,1902630_2,87764_1902630_2
444829,1902630_3,87764_1902630_3
444834,1902635_3,87764_1902635_3
444846,1902700_0,87766_1902700_0
444850,1902700_1,87766_1902700_1
444871,1902713_0,87766_1902713_0
444875,1902713_1,87766_1902713_1
444879,1902713_2,87766_1902713_2
444885,1902687_0,87766_1902687_0
444892,1903013_0,87775_1903013_0
444894,1903014_0,87775_1903014_0
444898,1903014_1,87775_1903014_1
444932,1903093_0,87777_1903093_0
444933,1903093_1,87777_1903093_1
444980,1903121_1,87779_1903121_1
444992,1903141_0,87779_1903141_0
444993,1903119_0,87779_1903119_0
445009,1903121_2,87779_1903121_2
445013,1903141_1,87779_1903141_1
445017,1903141_2,87779_1903141_2
445031,1903217_0,87780_1903217_0
445032,1903199_0,87780_1903199_0
445033,1903199_1,87780_1903199_1
445042,1903217_1,87780_1903217_1
445043,1903199_2,87780_1903199_2
445064,1903282_1,87781_1903282_1
445071,1903282_0,87781_1903282_0
445082,1903281_0,87781_1903281_0
445100,1903352_0,87783_1903352_0
445104,1903352_1,87783_1903352_1
445108,1903348_0,87783_1903348_0
445138,1903380_1,87784_1903380_1
445145,1903370_0,87784_1903370_0
445146,1903380_0,87784_1903380_0
445147,1903370_1,87784_1903370_1
445159,1903381_0,87784_1903381_0
445160,1903380_2,87784_1903380_2
445195,1903404_0,87785_1903404_0
445197,1903405_0,87785_1903405_0
445201,1903405_1,87785_1903405_1
445223,1903421_0,87785_1903421_0
445227,1903421_1,87785_1903421_1
445245,1903486_0,87788_1903486_0
445259,1903581_1,87792_1903581_1
445260,1903582_0,87792_1903582_0
445264,1903582_1,87792_1903582_1
445292,1903597_0,87792_1903597_0
445296,1903597_1,87792_1903597_1
445300,1903597_2,87792_1903597_2
445316,1903796_2,87807_1903796_2
445320,1903796_3,87807_1903796_3
445325,1903804_0,87807_1903804_0
445354,1903818_0,87807_1903818_0
445358,1903818_1,87807_1903818_1
445367,-1_-1,87813_-1_-1
445397,1904028_0,87814_1904028_0
445398,1904030_0,87814_1904030_0
445415,1904049_0,87815_1904049_0
445417,1904049_2,87815_1904049_2
445421,1904049_3,87815_1904049_3
445457,1904055_0,87815_1904055_0
445458,-1_-1,87816_-1_-1
445489,1904111_0,87817_1904111_0
445493,1904111_1,87817_1904111_1
445509,1904111_2,87817_1904111_2
445510,1904148_0,87817_1904148_0
445518,1904150_0,87818_1904150_0
445522,1904150_1,87818_1904150_1
445526,1904151_0,87818_1904151_0
445550,1904209_0,87820_1904209_0
445553,1904210_1,87820_1904210_1
445557,1904210_2,87820_1904210_2
445581,1904228_0,87820_1904228_0
445590,1904313_0,87822_1904313_0
445635,1904348_0,87822_1904348_0
445636,1904321_0,87822_1904321_0
445640,1904321_1,87822_1904321_1
445670,1904373_0,87823_1904373_0
445674,1904373_1,87823_1904373_1
445678,1904379_0,87823_1904379_0
445679,1904396_0,87823_1904396_0
445688,1904432_0,87826_1904432_0
445690,1904433_1,87826_1904433_1
445694,1904433_2,87826_1904433_2
445716,1904451_0,87826_1904451_0
445717,1904453_0,87826_1904453_0
445721,1904453_1,87826_1904453_1
445726,-1_-1,87827_-1_-1
445758,1904574_0,87829_1904574_0
445800,1904632_0,87830_1904632_0
445804,1904632_1,87830_1904632_1
445808,1904632_2,87830_1904632_2
445809,1904604_0,87830_1904604_0
445813,1904604_1,87830_1904604_1
445817,1904604_2,87830_1904604_2
445875,1904788_0,87832_1904788_0
445879,1904788_1,87832_1904788_1
445883,1904788_2,87832_1904788_2
445884,1904687_0,87832_1904687_0
445888,1904687_1,87832_1904687_1
445892,-1_-1,87833_-1_-1
445933,1904766_0,87835_1904766_0
445937,1904766_1,87835_1904766_1
445941,1904775_0,87835_1904775_0
445942,1904782_0,87835_1904782_0
445948,-1_-1,87840_-1_-1
445997,1905070_1,87841_1905070_1
445998,1905005_2,87841_1905005_2
446004,1905070_0,87841_1905070_0
446005,1905005_0,87841_1905005_0
446017,1905070_2,87841_1905070_2
446018,1905005_3,87841_1905005_3
446054,1905020_0,87842_1905020_0
446073,1905073_0,87842_1905073_0
446080,1905021_0,87842_1905021_0
446084,1905021_1,87842_1905021_1
446088,1905077_0,87842_1905077_0
446092,1905077_1,87842_1905077_1
446109,1905140_0,87844_1905140_0
446113,1905140_1,87844_1905140_1
446117,1905140_2,87844_1905140_2
446131,1905190_0,87844_1905190_0
446145,1905139_2,87845_1905139_2
446151,1905143_0,87845_1905143_0
446152,1905139_0,87845_1905139_0
446153,1905143_1,87845_1905143_1
446165,1905139_3,87845_1905139_3
446201,-1_-1,87848_-1_-1
446234,1905644_0,87877_1905644_0
446238,1905643_0,87877_1905643_0
446242,1905643_1,87877_1905643_1
446248,1905649_0,87877_1905649_0
446252,1905649_1,87877_1905649_1
446286,1905788_1,87878_1905788_1
446287,1905752_2,87878_1905752_2
446293,1905788_0,87878_1905788_0
446294,1905752_0,87878_1905752_0
446306,1905788_2,87878_1905788_2
446307,1905752_3,87878_1905752_3
446358,1905830_0,87881_1905830_0
446362,1905830_1,87881_1905830_1
446366,1905829_0,87881_1905829_0
446402,1905912_0,87882_1905912_0
446404,1905913_0,87882_1905913_0
446408,1905913_1,87882_1905913_1
446430,1905927_0,87882_1905927_0
446434,1905927_1,87882_1905927_1
446438,1905927_2,87882_1905927_2
446455,1905954_0,87885_1905954_0
446476,1905995_0,87886_1905995_0
446480,1905995_1,87886_1905995_1
446484,1905995_2,87886_1905995_2
446512,1906057_0,87887_1906057_0
446516,1906057_1,87887_1906057_1
446520,1906064_0,87887_1906064_0
446528,1906075_0,87887_1906075_0
446532,1906075_1,87887_1906075_1
446548,1906105_0,87891_1906105_0
446549,1906107_0,87891_1906107_0
446566,1906124_0,87891_1906124_0
446583,1906171_0,87894_1906171_0
446588,1906171_2,87894_1906171_2
446592,1906171_3,87894_1906171_3
446620,1906181_0,87894_1906181_0
446624,1906181_1,87894_1906181_1
446628,1906181_2,87894_1906181_2
446638,1906208_0,87895_1906208_0
446642,1906208_1,87895_1906208_1
446646,1906208_2,87895_1906208_2
446671,1906227_0,87895_1906227_0
446675,1906227_1,87895_1906227_1
446679,1906227_2,87895_1906227_2
446690,1906260_0,87896_1906260_0
446695,1906260_2,87896_1906260_2
446699,1906260_3,87896_1906260_3
446735,1906278_0,87896_1906278_0
446739,1906278_1,87896_1906278_1
446743,1906278_2,87896_1906278_2
446755,1906318_0,87897_1906318_0
446760,1906318_2,87897_1906318_2
446764,1906318_3,87897_1906318_3
446792,1906336_0,87897_1906336_0
446796,1906336_1,87897_1906336_1
446800,1906336_2,87897_1906336_2
446810,1906378_0,87898_1906378_0
446814,1906378_1,87898_1906378_1
446818,1906378_2,87898_1906378_2
446844,1906384_0,87898_1906384_0
446848,1906384_1,87898_1906384_1
446852,1906384_2,87898_1906384_2
446865,1906414_0,87899_1906414_0
446870,1906414_2,87899_1906414_2
446874,1906414_3,87899_1906414_3
446907,1906432_0,87899_1906432_0
446911,1906432_1,87899_1906432_1
446915,1906432_2,87899_1906432_2
446927,1906490_0,87900_1906490_0
446932,1906490_2,87900_1906490_2
446936,1906490_3,87900_1906490_3
446942,1906492_0,87900_1906492_0
446946,1906492_1,87900_1906492_1
446950,1906492_2,87900_1906492_2
446985,1906530_0,87901_1906530_0
446989,1906530_1,87901_1906530_1
446993,1906530_2,87901_1906530_2
447016,1906544_0,87901_1906544_0
447020,1906544_1,87901_1906544_1
447024,1906544_2,87901_1906544_2
447057,1906581_0,87902_1906581_0
447062,1906581_2,87902_1906581_2
447066,1906581_3,87902_1906581_3
447068,1906596_0,87902_1906596_0
447072,1906596_1,87902_1906596_1
447076,1906596_2,87902_1906596_2
447088,1906634_0,87903_1906634_0
447093,1906634_2,87903_1906634_2
447097,1906634_3,87903_1906634_3
447123,1906650_0,87903_1906650_0
447127,1906650_1,87903_1906650_1
447131,1906650_2,87903_1906650_2
447148,1906686_1,87904_1906686_1
447152,1906686_2,87904_1906686_2
447156,1906686_3,87904_1906686_3
447184,1906704_0,87904_1906704_0
447209,1906758_1,87905_1906758_1
447213,1906758_2,87905_1906758_2
447217,1906758_3,87905_1906758_3
447223,1906760_0,87905_1906760_0
447227,1906760_1,87905_1906760_1
447231,1906760_2,87905_1906760_2
447244,1906807_1,87906_1906807_1
447269,1906807_2,87906_1906807_2
447272,1906807_3,87906_1906807_3
447282,1906824_0,87906_1906824_0
447286,1906824_1,87906_1906824_1
447290,1906824_2,87906_1906824_2
447330,1906885_1,87907_1906885_1
447331,1906872_2,87907_1906872_2
447338,1906885_0,87907_1906885_0
447339,1906872_0,87907_1906872_0
447346,1906885_2,87907_1906885_2
447347,1906872_3,87907_1906872_3
447387,1906949_0,87908_1906949_0
447388,1906939_0,87908_1906939_0
447389,1906949_1,87908_1906949_1
447390,1906939_2,87908_1906939_2
447403,1906949_2,87908_1906949_2
447404,1906939_3,87908_1906939_3
447447,1906987_0,87909_1906987_0
447448,1906986_0,87909_1906986_0
447449,1906987_1,87909_1906987_1
447450,1906986_2,87909_1906986_2
447462,1906987_2,87909_1906987_2
447463,1906986_3,87909_1906986_3
447505,1907059_0,87910_1907059_0
447506,1907042_0,87910_1907042_0
447507,1907059_1,87910_1907059_1
447508,1907042_1,87910_1907042_1
447521,1907059_2,87910_1907059_2
447522,1907042_2,87910_1907042_2
447549,1907097_0,87911_1907097_0
447575,1907115_0,87911_1907115_0
447579,1907115_2,87911_1907115_2
447583,1907116_0,87911_1907116_0
447587,1907116_1,87911_1907116_1
447591,1907116_2,87911_1907116_2
447629,1907161_0,87912_1907161_0
447633,1907161_1,87912_1907161_1
447637,1907174_0,87912_1907174_0
447641,1907174_1,87912_1907174_1
447645,1907174_2,87912_1907174_2
447666,1907228_0,87913_1907228_0
447671,1907228_2,87913_1907228_2
447675,1907228_3,87913_1907228_3
447700,1907230_0,87913_1907230_0
447704,1907230_1,87913_1907230_1
447708,1907230_2,87913_1907230_2
447718,1907269_1,87914_1907269_1
447722,1907269_2,87914_1907269_2
447726,1907269_3,87914_1907269_3
447751,1907286_0,87914_1907286_0
447755,1907286_1,87914_1907286_1
447759,1907286_2,87914_1907286_2
447774,1907321_0,87915_1907321_0
447778,1907321_1,87915_1907321_1
447782,1907321_2,87915_1907321_2
447803,1907340_0,87915_1907340_0
447807,1907340_1,87915_1907340_1
447811,1907340_2,87915_1907340_2
447873,1907405_0,87916_1907405_0
447877,1907405_1,87916_1907405_1
447881,1907405_2,87916_1907405_2
447885,1907383_0,87916_1907383_0
447889,1907383_1,87916_1907383_1
447899,1907505_0,87918_1907505_0
447903,1907505_1,87918_1907505_1
447907,1907505_2,87918_1907505_2
447943,1907566_0,87919_1907566_0
447995,1907634_0,87920_1907634_0
448000,1907634_2,87920_1907634_2
448004,1907634_3,87920_1907634_3
448005,1907639_0,87920_1907639_0
448009,1907639_1,87920_1907639_1
448013,1907639_2,87920_1907639_2
448029,1907672_0,87921_1907672_0
448033,1907672_1,87921_1907672_1
448037,1907672_2,87921_1907672_2
448066,1907708_0,87922_1907708_0
448070,1907708_1,87922_1907708_1
448074,1907708_2,87922_1907708_2
448098,1907731_0,87922_1907731_0
448102,1907731_1,87922_1907731_1
448106,1907731_2,87922_1907731_2
448146,1907784_0,87923_1907784_0
448150,1907784_1,87923_1907784_1
448154,1907784_2,87923_1907784_2
448160,1907801_0,87923_1907801_0
448164,1907801_1,87923_1907801_1
448168,1907801_2,87923_1907801_2
448189,1907862_1,87924_1907862_1
448193,1907862_2,87924_1907862_2
448198,1907865_0,87924_1907865_0
448202,1907865_1,87924_1907865_1
448246,1907915_1,87925_1907915_1
448250,1907915_2,87925_1907915_2
448254,1907915_3,87925_1907915_3
448260,1907916_0,87925_1907916_0
448264,1907916_1,87925_1907916_1
448268,1907916_2,87925_1907916_2
448300,1907966_0,87926_1907966_0
448305,1907966_2,87926_1907966_2
448309,1907966_3,87926_1907966_3
448315,1907968_0,87926_1907968_0
448319,1907968_1,87926_1907968_1
448323,1907968_2,87926_1907968_2
448353,1908369_0,87937_1908369_0
448357,1908369_1,87937_1908369_1
448361,1908369_2,87937_1908369_2
448379,1908438_0,87940_1908438_0
448389,1908451_0,87940_1908451_0
448390,1908452_0,87940_1908452_0
448394,1908452_1,87940_1908452_1
448408,1908461_0,87940_1908461_0
448412,1908461_1,87940_1908461_1
448452,1908530_0,87943_1908530_0
448456,1908530_1,87943_1908530_1
448460,1908530_2,87943_1908530_2
448479,1908623_0,87947_1908623_0
448483,1908623_1,87947_1908623_1
448501,1908614_0,87947_1908614_0
448529,1908680_0,87948_1908680_0
448555,1908735_0,87949_1908735_0
448559,1908735_1,87949_1908735_1
448582,1908718_0,87949_1908718_0
448599,1908874_0,87955_1908874_0
448639,1908937_2,87958_1908937_2
448646,1909019_0,87958_1909019_0
448647,1908937_1,87958_1908937_1
448648,1909019_1,87958_1909019_1
448662,1909015_0,87958_1909015_0
448663,1908935_0,87958_1908935_0
448679,1908967_0,87960_1908967_0
448683,1908967_1,87960_1908967_1
448687,1908967_2,87960_1908967_2
448734,1909119_0,87964_1909119_0
448738,1909119_1,87964_1909119_1
448742,1909120_0,87964_1909120_0
448775,1909222_2,87966_1909222_2
448777,1909222_1,87966_1909222_1
448787,1909221_0,87966_1909221_0
448806,1909230_0,87966_1909230_0
448810,1909230_1,87966_1909230_1
448814,1909226_0,87966_1909226_0
448824,1909168_0,87968_1909168_0
448828,1909168_1,87968_1909168_1
448841,1909303_0,87971_1909303_0
448845,1909303_1,87971_1909303_1
448849,1909303_2,87971_1909303_2
448880,1909451_0,87976_1909451_0
448884,1909451_1,87976_1909451_1
448903,1909509_0,87979_1909509_0
448907,1909509_1,87979_1909509_1
448914,1909511_0,87979_1909511_0
448917,1909518_0,87979_1909518_0
448976,1909737_2,87989_1909737_2
448977,1909737_4,87989_1909737_4
448996,1909786_0,87989_1909786_0
448997,1909737_0,87989_1909737_0
449002,1909727_0,87991_1909727_0
449006,1909727_1,87991_1909727_1
449026,-1_-1,88012_-1_-1
449064,1910048_0,88014_1910048_0
449068,1910048_1,88014_1910048_1
449072,1910048_2,88014_1910048_2
449081,1910058_0,88014_1910058_0
449085,1910058_1,88014_1910058_1
449089,1910058_2,88014_1910058_2
449111,1910158_0,88015_1910158_0
449132,1910158_1,88015_1910158_1
449148,1910142_0,88018_1910142_0
449149,1910126_0,88018_1910126_0
449150,1910142_1,88018_1910142_1
449151,1910126_1,88018_1910126_1
449158,1910126_2,88018_1910126_2
449166,1910142_2,88018_1910142_2
449213,1910272_0,88020_1910272_0
449217,1910272_1,88020_1910272_1
449221,1910272_2,88020_1910272_2
449229,1910257_0,88022_1910257_0
449233,1910257_1,88022_1910257_1
449237,1910257_2,88022_1910257_2
449282,1910336_0,88024_1910336_0
449283,1910349_1,88024_1910349_1
449284,1910336_1,88024_1910336_1
449291,1910349_0,88024_1910349_0
449299,1910352_0,88024_1910352_0
449300,1910335_0,88024_1910335_0
449325,1910416_0,88027_1910416_0
449329,1910416_1,88027_1910416_1
449340,1910433_0,88027_1910433_0
449341,1910436_0,88027_1910436_0
449347,-1_-1,88028_-1_-1
449406,1910575_0,88031_1910575_0
449408,1910583_0,88031_1910583_0
449409,1910575_2,88031_1910575_2
449416,1910583_2,88031_1910583_2
449417,1910575_3,88031_1910575_3
449458,1910664_0,88031_1910664_0
449459,1910666_0,88031_1910666_0
449463,1910666_1,88031_1910666_1
449496,1910623_0,88033_1910623_0
449500,1910623_1,88033_1910623_1
449511,1910630_0,88033_1910630_0
449512,1910643_0,88033_1910643_0
449516,1910643_1,88033_1910643_1
449542,-1_-1,88035_-1_-1
449585,1910751_0,88036_1910751_0
449586,1910751_1,88036_1910751_1
449597,1910764_0,88036_1910764_0
449598,1910751_2,88036_1910751_2
449614,1910764_1,88036_1910764_1
449618,1910764_2,88036_1910764_2
449633,1910986_0,88044_1910986_0
449637,1910986_1,88044_1910986_1
449641,1910986_2,88044_1910986_2
449681,1911027_0,88045_1911027_0
449684,1911033_0,88045_1911033_0
449688,1911033_1,88045_1911033_1
449692,1911034_0,88045_1911034_0
449696,1911034_1,88045_1911034_1
449716,1911398_0,88058_1911398_0
449720,1911398_1,88058_1911398_1
449749,1911395_0,88058_1911395_0
449750,1911438_0,88060_1911438_0
449754,1911438_1,88060_1911438_1
449797,1911509_0,88063_1911509_0
449801,1911509_1,88063_1911509_1
449805,1911509_2,88063_1911509_2
449817,-1_-1,88064_-1_-1
449858,1911635_0,88067_1911635_0
449862,1911635_1,88067_1911635_1
449866,1911636_0,88067_1911636_0
449870,1911636_1,88067_1911636_1
449886,1911682_0,88067_1911682_0
449899,1911684_0,88069_1911684_0
449901,1911687_0,88069_1911687_0
449905,1911687_1,88069_1911687_1
449932,1911712_0,88069_1911712_0
449936,1911712_1,88069_1911712_1
449940,1911712_2,88069_1911712_2
449956,1911913_0,88075_1911913_0
449957,1911916_1,88075_1911916_1
449958,1911913_1,88075_1911913_1
449965,1911916_0,88075_1911916_0
449975,1911896_0,88075_1911896_0
450009,1911982_1,88077_1911982_1
450030,1912017_0,88078_1912017_0
450039,1912039_0,88078_1912039_0
450043,1912039_1,88078_1912039_1
450055,1912044_0,88078_1912044_0
450059,1912044_1,88078_1912044_1
450083,1912101_0,88082_1912101_0
450106,1912241_0,88099_1912241_0
450110,1912241_1,88099_1912241_1
450174,1912346_0,88106_1912346_0
450175,1912346_1,88106_1912346_1
450179,1912346_2,88106_1912346_2
450183,1912348_0,88106_1912348_0
450187,1912348_1,88106_1912348_1
450284,1912599_0,88117_1912599_0
450307,1912713_0,88121_1912713_0
450348,1912782_0,88124_1912782_0
450352,1912782_1,88124_1912782_1
450359,1912806_0,88126_1912806_0
450360,1912806_1,88126_1912806_1
450365,1912816_0,88126_1912816_0
450369,1912816_1,88126_1912816_1
450389,1912812_0,88126_1912812_0
450393,1912812_1,88126_1912812_1
450423,1913197_0,88136_1913197_0
450427,1913197_1,88136_1913197_1
450431,1913198_0,88136_1913198_0
450432,1913198_2,88136_1913198_2
450439,1913198_1,88136_1913198_1
450440,1913198_3,88136_1913198_3
450454,1913204_0,88136_1913204_0
450473,1913487_0,88150_1913487_0
450477,1913487_1,88150_1913487_1
450481,1913487_2,88150_1913487_2
450484,1913504_0,88150_1913504_0
450488,1913504_1,88150_1913504_1
450492,1913504_2,88150_1913504_2
450564,1913709_0,88158_1913709_0
450568,1913709_1,88158_1913709_1
450572,1913709_2,88158_1913709_2
450580,1913724_0,88158_1913724_0
450584,1913724_1,88158_1913724_1
450588,1913724_2,88158_1913724_2
450603,1913837_0,88163_1913837_0
450604,1913837_1,88163_1913837_1
450608,1913837_2,88163_1913837_2
450626,1913852_0,88163_1913852_0
450630,1913852_1,88163_1913852_1
450634,1913852_2,88163_1913852_2
450649,1913996_0,88172_1913996_0
450650,1914013_1,88172_1914013_1
450651,1913996_1,88172_1913996_1
450657,1914013_0,88172_1914013_0
450728,1914082_0,88177_1914082_0
450732,1914082_1,88177_1914082_1
450736,1914082_2,88177_1914082_2
450761,1914242_0,88186_1914242_0
450762,1914243_0,88186_1914243_0
450766,1914243_2,88186_1914243_2
450806,1914468_0,88195_1914468_0
450807,1914494_2,88195_1914494_2
450808,1914468_1,88195_1914468_1
450815,1914494_1,88195_1914494_1
450822,1914494_0,88195_1914494_0
450823,1914467_0,88195_1914467_0
450876,1914601_0,88197_1914601_0
450877,1914601_1,88197_1914601_1
450881,1914601_2,88197_1914601_2
450917,1914730_1,88204_1914730_1
450918,1914730_0,88204_1914730_0
450941,1914760_0,88205_1914760_0
450945,1914760_1,88205_1914760_1
450986,1914964_1,88210_1914964_1
450992,1914969_0,88210_1914969_0
450993,1914964_0,88210_1914964_0
450994,1914969_1,88210_1914969_1
