,instance_indexinmglist,study_instance_indexinmglist
141040,1322725_1,67516_1322725_1
141071,1322795_0,67520_1322795_0
141075,1322795_1,67520_1322795_1
141079,1322810_0,67520_1322810_0
141083,1322810_1,67520_1322810_1
141113,1322876_0,67522_1322876_0
141117,1322876_1,67522_1322876_1
141145,1322898_0,67526_1322898_0
141149,1322898_1,67526_1322898_1
141213,1322999_0,67528_1322999_0
141217,1322999_1,67528_1322999_1
141236,1322971_0,67529_1322971_0
141240,1322971_1,67529_1322971_1
141249,1323166_0,67538_1323166_0
141253,1323166_1,67538_1323166_1
141316,1323226_0,67540_1323226_0
141317,1323226_1,67540_1323226_1
141372,1323363_0,67545_1323363_0
141376,1323363_1,67545_1323363_1
141380,1323383_0,67545_1323383_0
141384,1323383_1,67545_1323383_1
141393,1323430_0,67550_1323430_0
141397,1323430_1,67550_1323430_1
141423,1323556_0,67555_1323556_0
141427,1323556_1,67555_1323556_1
141465,1323610_0,67558_1323610_0
141469,1323610_1,67558_1323610_1
141473,1323611_0,67558_1323611_0
141477,1323611_1,67558_1323611_1
141535,1323680_2,67560_1323680_2
141539,1323680_3,67560_1323680_3
141553,1323780_0,67565_1323780_0
141557,1323780_1,67565_1323780_1
141605,1323852_0,67568_1323852_0
141609,1323852_1,67568_1323852_1
141635,1324008_0,67580_1324008_0
141639,1324008_1,67580_1324008_1
141666,1324068_0,67581_1324068_0
141670,1324068_1,67581_1324068_1
141701,1324110_0,67582_1324110_0
141705,1324110_1,67582_1324110_1
141746,1324136_0,67584_1324136_0
141747,1324136_1,67584_1324136_1
141764,1324135_1,67584_1324135_1
141795,1324281_1,67593_1324281_1
141799,1324281_2,67593_1324281_2
141826,1324302_0,67594_1324302_0
141830,1324302_1,67594_1324302_1
141847,1324424_0,67596_1324424_0
141851,1324424_1,67596_1324424_1
141876,1324399_0,67598_1324399_0
141880,1324399_1,67598_1324399_1
141916,1324650_0,67606_1324650_0
141920,1324650_1,67606_1324650_1
141971,1324752_1,67611_1324752_1
141975,1324752_0,67611_1324752_0
141988,1324780_0,67612_1324780_0
141992,1324780_1,67612_1324780_1
142043,1324838_1,67614_1324838_1
142047,1324838_2,67614_1324838_2
142053,1324863_0,67616_1324863_0
142065,1324863_1,67616_1324863_1
142082,1324911_0,67619_1324911_0
142086,1324911_1,67619_1324911_1
142135,1324944_0,67621_1324944_0
142139,1324944_1,67621_1324944_1
142165,1324968_1,67622_1324968_1
142169,1324968_2,67622_1324968_2
142193,1325106_0,67627_1325106_0
142197,1325106_1,67627_1325106_1
142231,1325172_0,67628_1325172_0
142235,1325172_1,67628_1325172_1
142260,1325243_0,67630_1325243_0
142264,1325243_1,67630_1325243_1
142288,1325248_0,67630_1325248_0
142292,1325248_1,67630_1325248_1
142309,1325348_0,67633_1325348_0
142313,1325348_1,67633_1325348_1
142337,1325407_0,67635_1325407_0
142341,1325407_1,67635_1325407_1
142436,1325470_0,67639_1325470_0
142440,1325470_1,67639_1325470_1
142448,1325475_0,67639_1325475_0
142452,1325475_1,67639_1325475_1
142469,1325495_0,67640_1325495_0
142470,1325500_0,67640_1325500_0
142477,1325495_1,67640_1325495_1
142478,1325500_1,67640_1325500_1
142515,1325600_0,67642_1325600_0
142519,1325600_1,67642_1325600_1
142540,1325644_0,67644_1325644_0
142544,1325644_1,67644_1325644_1
142600,1325777_0,67648_1325777_0
142604,1325777_1,67648_1325777_1
142615,1326106_0,67673_1326106_0
142619,1326106_1,67673_1326106_1
142682,1326220_0,67679_1326220_0
142686,1326220_1,67679_1326220_1
142717,1326496_1,67705_1326496_1
142725,1326608_0,67711_1326608_0
142729,1326608_1,67711_1326608_1
142775,1326642_0,67712_1326642_0
142779,1326642_1,67712_1326642_1
142796,1327188_0,67730_1327188_0
142797,1327189_0,67730_1327189_0
142804,1327189_1,67730_1327189_1
142841,1327363_0,67737_1327363_0
142845,1327363_1,67737_1327363_1
142849,1327442_0,67737_1327442_0
142853,1327442_1,67737_1327442_1
142877,1327492_0,67740_1327492_0
142881,1327492_1,67740_1327492_1
142893,1327529_0,67740_1327529_0
142897,1327529_1,67740_1327529_1
142934,1327607_0,67743_1327607_0
142938,1327607_1,67743_1327607_1
142956,1327695_0,67746_1327695_0
142969,1327997_0,67757_1327997_0
142973,1327997_1,67757_1327997_1
142986,1328026_0,67758_1328026_0
142990,1328026_1,67758_1328026_1
142994,1328039_0,67758_1328039_0
142998,1328039_1,67758_1328039_1
143018,1328055_0,67759_1328055_0
143022,1328055_1,67759_1328055_1
143040,1328085_0,67760_1328085_0
143044,1328085_1,67760_1328085_1
143053,1328101_0,67760_1328101_0
143057,1328101_1,67760_1328101_1
143070,1328265_0,67770_1328265_0
143119,1328378_0,67774_1328378_0
143123,1328378_1,67774_1328378_1
143188,1328503_1,67777_1328503_1
143189,1328503_2,67777_1328503_2
143212,1328483_0,67779_1328483_0
143216,1328483_1,67779_1328483_1
143236,1328903_0,67799_1328903_0
143240,1328903_1,67799_1328903_1
143267,1329489_0,67832_1329489_0
143268,1329490_0,67832_1329490_0
143275,1329489_1,67832_1329489_1
143276,1329490_1,67832_1329490_1
143283,1329508_1,67832_1329508_1
143284,1329509_0,67832_1329509_0
143291,1329508_0,67832_1329508_0
143306,1329531_0,67835_1329531_0
143310,1329531_1,67835_1329531_1
143335,1329601_0,67838_1329601_0
143339,1329601_1,67838_1329601_1
143373,1329668_0,67840_1329668_0
143377,1329668_1,67840_1329668_1
143404,1329742_0,67845_1329742_0
